width,atoms,Nearest neighbor,Total elapsed time
1,5000,6.72990495339036,6.73132804222405
1,50,0.33562748320400715,0.3362804874777794
1,11250,15.915414493530989,15.931617544963956
1,20000,29.234738746657968,29.239410053938627
1,200,0.7633036524057388,0.7642037905752659
1,450,0.49859621934592724,0.4992610216140747
1,800,0.89922702498734,0.8999090194702148
1,1250,1.4097397532314062,1.41045524738729
1,1800,2.1729887761175632,2.1739299204200506
1,2450,2.9783682338893414,2.9793682917952538
1,3200,4.131377011537552,4.132618237286806
1,4050,5.302999954670668,5.304221348837018
2,10000,16.574958495795727,16.57759526371956
2,100,0.49589554220438004,0.4965451881289482
2,22500,39.401411682367325,39.421226896345615
2,40000,71.81791885755956,71.84176257625222
2,200,0.7736841067671776,0.7755196765065193
2,900,1.158986885100603,1.1598496735095978
2,1600,2.2455787360668182,2.2468373626470566
2,2500,3.6168260630220175,3.618257287889719
2,3600,5.530540710315108,5.532015770673752
2,4900,7.689354924485087,7.705169113352895
2,6400,10.451854487881064,10.454027684405446
2,8100,13.430416019633412,13.432949082925916
1,5000,6.788016660604626,6.789636727888137
1,50,0.34310710337013006,0.3439541650004685
1,11250,16.183420676738024,16.199912143871188
1,20000,29.6422726851888,29.647264291066676
1,200,0.7711789170280099,0.7722748829983175
1,450,0.49927667900919914,0.5001128362491727
1,800,0.9057616628706455,0.9067025235854089
1,1250,1.4471017592586577,1.4480169150047004
1,1800,2.1858479669317603,2.1870134151540697
1,2450,3.0491109914146364,3.050309779122472
1,3200,4.187027266714722,4.188660101033747
1,4050,5.319192951545119,5.32066314201802
2,10000,16.85570109449327,16.858479972928762
2,100,0.4972259970381856,0.49849177012220025
2,22500,39.77793185785413,39.79776101000607
2,40000,72.12645422434434,72.15036234632134
2,200,0.7734545790590346,0.7751763607375324
2,900,1.1662694122642279,1.1671423679217696
2,1600,2.24261181242764,2.243643168825656
2,2500,3.6720880293287337,3.6735313958488405
2,3600,5.550291697960347,5.551775176078081
2,4900,7.816808125004172,7.832533291075379
2,6400,10.487278158776462,10.489453753922135
2,8100,13.513013256713748,13.515835268888623
1,5000,6.4194460567086935,6.4208939438685775
1,50,0.30587797332555056,0.3065874073654413
1,11250,15.501778994686902,15.519690848886967
1,20000,28.396125273313373,28.401256299111992
1,200,0.7398577616550028,0.7408870849758387
1,450,0.4497263408266008,0.4503831979818642
1,800,0.8117450345307589,0.8123956369236112
1,1250,1.3000002624467015,1.301361442077905
1,1800,1.9767783721908927,1.9777508680708706
1,2450,2.78835666552186,2.7893517133779824
1,3200,3.877064699307084,3.878365750890225
1,4050,4.96764193335548,4.968968499917537
2,10000,15.961459343321621,15.963913626037538
2,100,0.4525403920561075,0.45321709429845214
2,22500,37.9326253128238,37.95392490411177
2,40000,69.36695938464254,69.39150957483798
2,200,0.7165658641606569,0.7185964439995587
2,900,1.0466170329600573,1.0475760158151388
2,1600,2.0449991887435317,2.0460711857303977
2,2500,3.3926421445794404,3.394217172637582
2,3600,5.188358390238136,5.190157205797732
2,4900,7.334106246009469,7.350584139116108
2,6400,9.917073452379555,9.919609611853957
2,8100,12.757462770212442,12.760230943094939
1,5000,7.139807330910116,7.141365197021514
1,50,0.3377438639290631,0.3384450231678784
1,11250,17.127553686499596,17.147232037968934
1,20000,29.833700427319854,29.838350304868072
1,200,0.7643504575826228,0.7654045480303466
1,450,0.45812722807750106,0.4588236906565726
1,800,0.8233162434771657,0.8241475420072675
1,1250,1.3068018956109881,1.307522376999259
1,1800,2.0118565247394145,2.0128558282740414
1,2450,2.831536383833736,2.832617545966059
1,3200,3.9250963600352407,3.9263971359468997
1,4050,5.051441943272948,5.052735202945769
2,10000,16.22749887406826,16.23005457315594
2,100,0.47038124967366457,0.4710856699384749
2,22500,38.760709499008954,38.78183401422575
2,40000,69.95885748183355,69.98478382220492
2,200,0.7306673885323107,0.7324979589320719
2,900,1.0531747159548104,1.054383146110922
2,1600,2.0569084333255887,2.0581058147363365
2,2500,3.3670721696689725,3.368668884038925
2,3600,5.222321786452085,5.224014779087156
2,4900,7.353655570652336,7.370196079835296
2,6400,9.991853236220777,9.994471393991262
2,8100,12.840245219878852,12.843221665825695
