
width,atoms,Nearest neighbor,Total elapsed time
1,500,0.4650300438515842,0.46562414802610874
1,750,0.6944643245078623,0.6950759687460959
1,1000,0.9311482673510909,0.9318594704382122
1,100,0.5086640692315996,0.5091784270480275
1,150,0.7409068192355335,0.7414305838756263
1,200,0.17135411128401756,0.17202680185437202
1,250,0.2245026039890945,0.2250402201898396
1,300,0.2626358950510621,0.26331709418445826
1,350,0.3124230927787721,0.3129667928442359
1,400,0.3618685360997915,0.36243738885968924
1,450,0.41106141498312354,0.41165093425661325
2,2000,2.7158711971715093,2.7167007480747998
2,3000,4.372330292593688,4.373560810927302
2,4000,5.831756770145148,5.833085583988577
2,400,1.2481428170576692,1.2488699345849454
2,600,1.8318964871577919,1.8327859500423074
2,800,1.0048486236482859,1.005613240879029
2,1000,1.2844704068265855,1.285123819950968
2,1200,1.4997374801896513,1.5004341970197856
2,1400,1.8414964582771063,1.8423185711726546
2,1600,2.113817878998816,2.1147492146119475
2,1800,2.3946216637268662,2.395521072205156
1,500,0.45257454877719283,0.45321851084008813
1,750,0.6956382640637457,0.6963298139162362
1,500,0.46316662430763245,0.46385614899918437
1,500,0.4672720246016979,0.46794393099844456
1,1000,0.9470768757164478,0.9478349979035556
1,750,0.712317677680403,0.7130660386756063
1,750,0.7216730038635433,0.7223853319883347
1,100,0.49472115002572536,0.49537344789132476
1,1000,0.9536092933267355,0.9544456372968853
1,1000,0.9642635169439018,0.9650800838135183
1,150,0.724797829054296,0.7254376942291856
1,200,0.1633699149824679,0.16399958170950413
1,250,0.21347791235893965,0.21405481360852718
1,100,0.49817161122336984,0.4988078852184117
1,100,0.5005112970247865,0.5012187059037387
1,300,0.2534513217397034,0.25406432477757335
1,350,0.30020024394616485,0.3008013782091439
1,150,0.7193302530795336,0.7199354260228574
1,150,0.732884215656668,0.7335102646611631
1,400,0.35343177802860737,0.35405440628528595
1,200,0.17403179313987494,0.17463968181982636
1,200,0.1763759828172624,0.17698447220027447
1,250,0.21842558030039072,0.21901050070300698
1,250,0.2230289881117642,0.22359873680397868
1,450,0.40328220976516604,0.4039079649373889
1,300,0.257732093334198,0.25834621023386717
1,300,0.25931252585723996,0.2599399168975651
1,350,0.3154092109762132,0.31606193585321307
1,350,0.3185907336883247,0.31925209797918797
1,400,0.36357050528749824,0.3642518650740385
1,400,0.36833679396659136,0.36902739107608795
1,450,0.40949674556031823,0.4102207338437438
1,450,0.41837337194010615,0.41905942000448704
2,2000,2.9282438261434436,2.9292171322740614
2,2000,2.926636304240674,2.92758133681491
2,2000,2.9575471659190953,2.9586121779866517
2,3000,4.595055339857936,4.596412444021553
2,3000,4.615499961189926,4.616916770115495
2,3000,4.673265872057527,4.6746348310261965
2,4000,6.117653805762529,6.119198498316109
2,400,1.3068915754556656,1.3077113488689065
2,4000,6.132620446383953,6.134007930289954
2,4000,6.205046038143337,6.206443966832012
2,400,1.286099586635828,1.2868993636220694
2,400,1.296197589021176,1.2970131700858474
2,600,1.8991112359799445,1.8998998021706939
2,800,1.086192775517702,1.0869792820885777
2,600,1.9445216562598944,1.9452654719352722
2,600,1.9632469830103219,1.9640377219766378
2,1000,1.4005866623483598,1.40138506796211
2,800,1.0937828002497554,1.0946519039571285
2,800,1.103415652178228,1.1042391709052026
2,1000,1.4212114131078124,1.422034895978868
2,1200,1.656552838627249,1.6574048879556358
2,1000,1.427555723581463,1.4283806448802352
2,1200,1.6547413901425898,1.6556093730032444
2,1200,1.6768506080843508,1.6777197760529816
2,1400,2.0070343129336834,2.0080376570113003
2,1400,2.0388986533507705,2.039901081006974
2,1400,2.060122662689537,2.0611604768782854
2,1600,2.3165114652365446,2.3175780209712684
2,1600,2.3702093241736293,2.3713063979521394
2,1600,2.3896437138319016,2.3907651267945766
2,1800,2.653752737212926,2.654827104881406
2,1800,2.6360807176679373,2.6371436519548297
2,1800,2.6415939047001302,2.6426621237769723
