width,atoms,bins,Bin sort,Nearest neighbor,Total elapsed time
1,150,3,0.0020378119952511042,33.675878284004284,33.68057553700055
1,1000,20,0.012865615004557185,222.65265680199082,222.70410709900898
1,750,15,0.010399275997770019,171.92880859300203,171.94195473800937
1,200,4,0.0029111259937053546,44.87322073399264,44.901653046996216
1,500,10,0.0066903279948746786,110.36116858200694,110.37034563100315
1,300,6,0.00407619500765577,65.93597952199343,65.96547253099561
1,250,5,0.0031425389999810704,56.41977865700002,56.424731795000014
1,350,7,0.005251788000009583,77.40640813499999,77.43742439600004
1,400,8,0.006850677999977961,89.60836099599999,89.64087198800007
1,450,9,0.005641369999921153,101.94094950500005,101.97231202700004
1,100,2,0.0016401099999256985,17.28827348799996,17.315782033000005
2,1400,28,0.019951419999870268,743.9242809739999,743.9473088660002
2,1800,36,0.03257073099985064,962.6483695559996,962.7104306619999
2,1000,20,0.013970332999633683,537.9910864630001,538.0435448010003
2,800,16,0.011986348000391445,429.28800859700004,429.3293284900001
2,1200,24,0.015873360999648867,646.226441543,646.245134887
2,3000,60,0.03979963500023587,1608.50387795,1608.5820096819998
2,2000,40,0.029486430999895674,1121.4250231839987,1121.4836549849997
2,400,8,0.0059712120000767754,159.822059817001,159.86654613099927
2,1600,32,0.021254568000586005,863.7708737199991,863.8214483240008
2,600,12,0.008476379000057932,357.47067730900017,357.5054220490001
2,4000,80,0.056119147999197594,2143.671164305999,2143.7577807689995
