width,atoms,Nearest neighbor,Total elapsed time
1,150,1.1192796940013068,1.1206014680010412
1,1000,29.808362488000057,29.809712928001318
1,750,16.129927436999424,16.131033591998857
1,200,1.5518444669996825,1.552855018999253
1,500,7.779854121001335,7.78097510400039
1,300,3.110737696999422,3.1118222780005453
1,350,4.030053225000302,4.03116181400037
1,400,5.269457090000287,5.2705810889983695
1,100,0.5039096270011214,0.5050454319989512
1,450,6.599006088001261,6.600093727000058
1,250,2.3609922300001926,2.362136419000308
2,1400,54.15887064799972,54.160225096999056
2,1800,86.906460057,86.90761667699917
2,1000,28.242604594001023,28.243559008999
2,800,18.52813477899872,18.529110363000655
2,1200,39.771579872000075,39.772545564999746
2,3000,236.24645877399962,236.24756460400022
2,2000,106.79846258299949,106.80154914500054
2,400,5.402448850998553,5.427806003001024
2,1600,69.4375397620006,69.44018041699928
2,600,11.092562784999245,11.118305272000725
2,4000,424.1233686830001,424.1569216370008
