width,atoms,bins,Bin sort,Nearest neighbor,Total elapsed time
1,450,9,0.005620599957183003,6.399982554023154,6.40691839507781
1,800,16,0.010248312959447503,11.760692727053538,11.772428181022406
1,1250,25,0.018501707003451884,17.819176922901534,17.839220955967903
1,1800,36,0.031056929961778224,25.616200716001913,25.648694765986875
1,2450,49,0.03316720307338983,35.65957932593301,35.6942871339852
1,3200,64,0.04065356799401343,44.60059161996469,44.64277151005808
1,4050,81,0.052861902047879994,57.26079039904289,57.31523657392245
1,5000,100,0.06462304596789181,77.70900052494835,77.77525864809286
2,900,18,0.016122226952575147,26.21506728499662,26.23249515693169
2,1600,32,0.022110115038231015,40.38491462392267,40.40855460905004
2,2500,50,0.03330462600570172,64.44067389995325,64.47545496292878
2,3600,72,0.05272431089542806,93.91974825807847,93.97398357396014
2,4900,98,0.06459096202161163,130.87361709401011,130.93991068401374
2,6400,128,0.08264517900533974,179.18159482709598,179.26599273597822
2,8100,162,0.09841362002771348,203.50437904999126,203.60484006197657
2,10000,200,0.11976027803029865,279.06713299802504,279.1889494030038
