width,atoms,bins,Bin sort,Nearest neighbor,Total elapsed time
1,100,2,0.0013808859512209892,0.498750222963281,0.5014371660072356
1,150,3,0.0019001309992745519,1.0400774450972676,1.0436335230479017
1,200,4,0.0024443770525977015,1.3030695039778948,1.3067717009689659
1,250,5,0.003013562993146479,1.843079837039113,1.8474479509750381
1,300,6,0.003565122955478728,2.101981322048232,2.1069644920062274
1,350,7,0.004423504928126931,2.3223327109590173,2.328137701959349
1,400,8,0.0046914840349927545,2.6974456961033866,2.7034495039843023
1,450,9,0.005341590964235365,2.911960041965358,2.918673214968294
1,500,10,0.006566555937752128,3.3737885219743475,3.3817326800199226
1,750,15,0.009403986972756684,4.919563713017851,4.93047993502114
1,1000,20,0.012487499043345451,6.3664579739561304,6.380348240956664
2,400,8,0.004981021047569811,5.315884344046935,5.322336775949225
2,600,12,0.007592734065838158,10.79862256697379,10.807588424999267
2,800,16,0.009786915965378284,14.01333968702238,14.024442548980005
2,1000,20,0.01273111195769161,19.608208763063885,19.622658941079862
2,1200,24,0.018118525040335953,23.213173090014607,23.23268592194654
2,1400,28,0.01831664703786373,25.38552498293575,25.405376047012396
2,1600,32,0.020150764961726964,28.02497631101869,28.04651078209281
2,1800,36,0.0245221599470824,32.15277117595542,32.17884331801906
2,2000,40,0.026398301939480007,39.917654628050514,39.94560028007254
2,3000,60,0.039123151917010546,54.47282612102572,54.513609805027954
2,4000,80,0.05103219300508499,76.98677449091338,77.03944335400593
