atoms,bins,Bin sort,Nearest neighbor,Total elapsed time
1350,27,0.01826039599836804,54.412598416995024,54.43223269599548
3200,64,0.04716818800079636,123.822724379992,123.8713450840005
6250,125,0.07624013899476267,238.63210353199975,238.7100271179952
10800,216,0.13078330700227525,455.56458601700433,455.6973391920037
17150,343,0.20886128500569612,707.5550146750029,707.766414194004
